,id,native,language,text
1580,3315,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a french guy, I'm studying Political Science in Bruxelles ! I'm 23 and next year I will make an international exchange for my studies but I need to practice my level. I look for cool person who want to discuss by message or video ! I'm very open-minded and I love to discover new things and culture by others persons !"
1581,3317,French,"[{'language': 'Korean', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, my name's Hamza and I'm a student. I like learning language but I don't have the occasion to practice. If I can help you too feel free to send a message!"
1584,3320,French,"[{'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, Looking for new people I can practice with. I can help with French when I'm available. Feel free to write me."
1585,3321,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m a french university student, and I’m very curious about discovering new cultures and learning new languages ! I'd love to exchange with a native English speaker, because since I'm at university I don’t have many opportunities to practice and I feel like I'm not improving anymore. I'd really like to practice my speaking English, and I'd be happy to help you with French in return, of course !"
1586,3324,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I learn English for several years now and I would like to improve my English. I would be happy to talk with you. In exchange, I can help you with French."
1587,3325,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi everyone, I'm here to meet cool people to practice languages I can also help you with French. I am a sociable person, I like to learn new things and new cultures."
1588,3326,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everyone I would like to improve my English and I am looking for someone to exchange the best would be that the person wants to improve his French, Tambien si algien quiere conversar en espagnol sera con mucho gusto asta pronto, thank you see you very soon."
1589,3328,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to speak with english native speaker about Travel, sciences, movies or everything else. I try to improve my english and i need help to practice with more confidente and fluency. I can help anyone in french."
1590,3330,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, I am Marie, I would like to find people with whom to exchange regularly in order to improve my English and to make new meetings. I would of course be happy to help you in French if you need it. Well then do not hesitate, i would be happy to chat with you !"
1591,3332,French,"[{'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I live and work on the Côte d'azur ; I speak English but not very well as I don't have opportunities to practice it, and I learn spanish since a few weeks for my pleasure (I'm very beginner :-). I would like to practice these langages by speaking with native speakers. And of course I can help someone to practice speaking French."
1592,3334,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I’ve lived in Thailand and French Guyana for a while and just settled in Montpellier. If you want to improve your french feel free to contact me!
1593,3335,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my English. I am a sports teacher and so I love all sports. I need to improve my English pronunciation. So It would be a pleasure for me to help you with your French. Please feel free to contact me
1594,3336,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","hello i'm Sul, i would like to improve my english"
1595,3338,French,"[{'language': 'Dutch', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm a French-speaking Belgian looking for a Portuguese (Brazilian) speaking partner to improve my speaking and listening skills. I would be glad to teach French and to discover some hidden corners of Brussels. I like places a little off the beaten track, good libraries and the intimate atmosphere of a jazz concert. I would also be happy to share my jogging sessions (5-8 miles) twice a week."
1596,3339,French,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am currently learning German and English.
1597,3342,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking for language partners so we can work on our conversation skills together :) I would be very happy to help you with French, whatever your level is. Feel free to send me a message! And if you're in Paris, let's meet up for a drink or a walk in the city :)"
1598,3343,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Vietnamese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm looking for a serious language partner to practice my english with on a regular basis (once a week would be great!). I used to talk daily in this language as I've lived abroad for a little while before but since I've been back in France, my english is getting absolutely terrible and I wld really like to get my confidence back when speaking! I'm happy to teach you about the french culture and show you around my place (not the whole city as im pretty sure you know it better than i do haha)"
1599,3345,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i want to improve my english, because my licence is hard so i am very friendly no worries i just want to discuss???"
1600,3347,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would just like to practice English with people wishing to practice French ;-)
1601,3348,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","My job is to help teams to be more proficient, in an ""agile"" way. I used to play bass and guitar in a band when I was young. I would like to play again in a band, maybe in a few years"
1602,3349,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello I am Meg, I am French and my goal is to meet people ffom all differents cultures I would like to improve my english as well, speak more with someone who is a natif speaker I like, sport, martial art, movies, speak around themes 'life lol Please Only women"
1604,3351,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to practice english, to make easier my future trips abroad France. In exchange, I could teach you a lot of things about France, like our culture, cinema, TV shows, habits, food, and so on! If you are interested, send me a text!"
1605,3352,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m hugo, I’m French and I research someone who can improve my English, it’s urgent ! I study pharmacy and I really hope to finish pharmacist. I live next to Paris so if you want me to make you discover paris, it would be a pleasure"
1606,3354,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a native French speaker, mother of 2 children, looking to improve my English with a native English speaker to read and speak more fluently. I would be glad to help you in French !"
1607,3356,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm looking for english speaker (advanced level) who is interested to learn and practice french. i like to share the cultures and some ideas on different topics."
1609,3360,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Persian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Arabic', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","hello, im a french native speaker i would like to improve my english and to learn others european languages as spanish, german, and portuguese. I am currently practicing a little Persian and arabic too. I have some experiences in teaching french for student coming from abroad here in Paris."
1610,3361,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","ONLY WOMEN Hi, i am really Seaching women to improve my english. So write me, i will be happy to answer you."
1612,3363,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I would like to improve my english skills and help people to learn french !"
1613,3364,French,"[{'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I find that the best way to learn a language is to constantly speak it, which is why I'm interested in finding partners all over the world to practise my languages, BLA BLA BLA"
1614,3366,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello there! I 've been looking for native English speakers who learn French or are interested in exchanging with a native French speaker. Join me and let's chat about various topics: rock music, movies, literature, history, life... In return, I can help you to practice French or English conversation. We may also become friends! I've been waiting for you!"
1615,3369,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm not here to learn but to help if I can ☺️ Or course i'm interested if you want to talk about your culture !
1616,3370,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm French and I'm a young college student. I love learning English and I love the American Culture! I would love to speak English with anyone who's interested in and discover a new culture (American culture, or Australian Culture for example :) ). I also can teach you French, no matter what you level is. We can speak using any means of communication. Don't hesitate to contact me if you are interested!"
1617,3371,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am looking for someone to practice and improve my english. I am currently studying in woodworking but I also work as props assistant for TV and film industry. Born in France, if you are interested to practice your french, I can help you! I would like to meet up someone regularly. I am a friendly, patient and easy going person. At the beginning, I think it'll be more simple for me to have a chat over a glass of beer to give me more confidence :) Do not hesitate to contact me!"
1618,3372,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my understanding and my speaking. My only goal is to be fluent in english asap. I prefer to speak with an english native who do not speak french.
1619,3373,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm Stephane, living in Paris. I would like to speak English with someone with a good command in English and improve my fluency in English. In return, i can help you with French."
1620,3374,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, call me if speak english is also a great thing for you"
1621,3376,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",I'm living in Bruxelles and I'm looking for a native English speaker for a language exchange. I'd like to improve my English through various activities and it would be my pleasure to help you with your French :)
1623,3384,French,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I would like to improve my english, german and italian. Could you help me to? It would be a pleasure for me to help you in french in return :) Have a good day :)"
1624,3385,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm here to improve my level of English.
1625,3386,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm 55 and live near Paris. I have an intermediate level B1 (I hope close to B2) . I travelled a lot before to practice my favourite hobbie, the scuba diving. Now, I always travel but less often and for 3 weeks minimum. I would like to exchange 1h once or twice a week, 30' in French and 30' in English. I would like to speak more fluently and especially with a good pronunciation. Through a newspaper article, we could read, ask question and speak about differents topics.."
1626,3387,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Hi,I am 57 and a half years old and I'm looking for conversations in English. I am passionate about contemporary history (18/21st century), cooking and politics. I would like to exchange on these different subjects but also for those you are interested in. It's up to you. PS: I'm not searching a girlfriend (too old) and i hate any kind of discrimination (skin color, age, religion, gender, sexual orientation,etc.). If it's a problem for you, move on !"
1627,3388,French,"[{'language': 'Welsh', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I fell in love with North Wales: the landscape, lakes and mountains, the people, the culture, the folk tales, love it all! Due to the covid restrictions I can't go back to Llanberis as i'd like to so it would be great to find a penpal or have a chat on line. I've always enjoyed learning languages, I'd like to improve my english too. I would be happy to help you improve your french."
1628,3393,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, I like travels and cultures. If you want we can exchange languages."
1629,3396,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I would like to improve my intermediate level in English. In return I can help you in French over a cup of coffee in Paris. I'm available in the evening and during the week end."
1630,3397,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm here to improve my English. I got married so I don't want to meet someone, but I just want meet somepeople who wants speak in English and in French. I can help you on the French language. I'm French native."
1631,3398,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","YOOO, I am looking for correspondant to improve my English and in return I can help you to improve your French ;)We can of course talk by msg if you wish."
1632,3399,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","I will really progress in english, I want to discover New friends, new people to share our minds opinions, to talk about everything. I will probably go in England in 2024 it will depend with the corona. I'm really everytime hopefull and glad with all people. I really hope to have an interesting exchange"
1633,3403,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am a student who want to practice English. I will be glad to find a partner who will help me.
1634,3407,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a bookseller and I want to improve my english. Feel free to send me a message! Can help you with your french
1635,3408,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Turkish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, Currently i'm billingual french/arabic, i wish to widen my knowledge of english and be more confident. I offer my help in french language in exchange of english. It could be also a nice opportunity for business networking."
1636,3409,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would love to discover the whole world,I wanna go everywhere! I’m passionate about music, nature, and other interest I mention on my profil, and ofc I love going out with my friends. We can exchange by casual talk. I will help you with your french and you can help me with my English or Spanish or else. Hope to see u around :)"
1637,3411,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Chinese (Cantonese)', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hello World ! I'm a French of Chinese origin and I live in France. I'm currently improving my English and Chinese, and learning Japanese. I would appreciate a language partner who can help me to improve my English and Chinese skills or teach me Japanese. I'm a native French speaker, so if you want to do a language exchange, feel free to contact me ! I prefer a face-to-face conversation in Paris rather than exchanging by messages."
1639,3416,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I live in toronto and I want to converse face to face in english, i want a native speaker one who doesn't have ANY accent. in exchange i can teach you French and many things of daily life Ps: THE FOLLOWINGS ARE VERY IMPORTANT!!!! Want money DON'T contact me please! Want dating DON'T contact me please! have an ACCENT DON'T contact me please!"
1640,3418,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like improve my english with a native english speaker again, why again, because, 3 years ago, I exchanged with a scottish person, but it was just before the Brexit. Improve his french became not necessary for him. And the exchange go down. So as, I like travel, improve my english is important for me and try to improve french language to another person would be a good interest. I am a fresh retired person, but I follow to give courses in mathematiques. I hope my request will interest you"
1641,3420,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I live in France, I love learning new things and espacially languages. I also like to help other so if you want to improve, don't hesitate to contact me !"
1642,3422,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, I spend more and more time in NewYork where part of my family leaves. I'm looking to talk to native speakers to improve my English, I'm happy to meet in Brooklyn or Manhattan. In exchange I'm very happy to teach French as I used to be a teacher and I like to teach. I also have lots of interests and would like to explore this beautiful city."
1643,3424,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm Pascal and I'd like to improve my English... and if you want to speak and improve your French, it'll be a pleasure to help you."
1644,3426,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Czech', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hello everyone, being a native French speaker I am here to help all those who want to learn or improve their French language. I would like to start learning a Slavic language, especially Czech. Don't hesitate to send me a message, even if you don't speak this languages, I'll be happy to help you, see you soon!"
1645,3427,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I’d be happy to exchange with native speaker to improve my english level. I can help you with your French. I’m friendly and patient ;)  See you soon
1647,3429,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone, I would like to tchat with english speaking people to improve my level. As I am french and born in Paris, I can help you in return if you wish to be proficient in french."
1648,3433,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",James ( France West coast ) I could be a great help for your French. Do not hesitate to contact me
1649,3434,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I want to practice my English. If you are a native speaker or if your speak well and are patience don’t hesitate contacting me. And I can help with French. I am really patient."
1650,3436,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i lived in canberra for 4 months. I 'm sport teacher. My english is not very good; so i try to listen, to speak but its not easy. So i try with this apply. Maybe a good surprise?"
1652,3440,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I'm Nora and I love speak english, that's why I want to perfect my english! In the future, I would like to live or work in an anglophon country (New York it's my dream!!) Moreover, I looove meet new people, so we can talk each other by letters as in the good alls days lol"
1653,3441,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm retired and I always loved the English language but I did not practise it, except at school. Now, I have decided to take time to improve my ability to understand (hard for me when it's spoken rapidly) and my confidence in speaking (level B2). So far, I am learning on my own and I'd like to exchange with someone who is not afraid to mark my mistakes. We can talk about anything and everything quite simply. I'd be happy to help you to advance your French."
1654,3442,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would improve my English to speak fluently. We can speak about many topics like news, series or films, books, pets... I am open-minded and have a sense of humour. I don’t look for company or flirt."
1656,3446,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Hungarian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, Bonjour, I would like practice more my English, Spanish and italian too. Obviously I will be extremely pleased, to do my best to help you with your French if you want it!"
1657,3453,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",French native speaker who want to improve his english level and teach in french
1658,3455,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi there!!! I am a French girl interested in a long term language exchange in order to improve myself. I am talkative, I like to laugh…We can speak about different topics. I can (of course) help you with French!"
1659,3456,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am looking for an English native speaker. I am a French student who has moved to London since September and I feel like I am not improving my English. This is quite difficult when you don't know anyone and can't communicate with people (French accent!). So, if someone is looking to learn French or helping a man in distress (┬┬﹏﹏┬┬) is interested."
1660,3457,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","I live in Paris (actually just near Paris in 15 Min by train ;) ) I really learn portuguese and improve my english and spanish. Let me know if you want to speak with a french guy. My hobbies : I like traveling, sightseeing ,football, reading books, listening to music and watching series."
1661,3460,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I would like to improve my English to use it for my job and to be able to speak when I travel. So if you are serious and to speak French, I would be happy to help you too."
1662,3461,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my English in order to travel ☺️
1663,3463,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m 65, retired, living in Paris and would like to use my free time to improve my English. Any English speaking person is welcome, young or old for exchanges of French or English conversations."
1665,3467,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hii , i wanna improve my english , i'm an arabic and french native speaker . I like discovering new things and traveling around the world"
1667,3469,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hello; I am a student based in Paris and I m looking with whom i can practice the English language.
1668,3470,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I study maths and physics in a very great school in France which prepares to Engineering schools. I have to improve my English language and my culture of America and Great Britain. To perform in my studies, I must know civilisation issues such as abortion, gun control, politics, climate change, women’s rights…so, I want to a pan-pan who interests in these burning issues. I’d be happy to chat with you!"
1669,3471,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm Elodie and I'm searching for a person who speak english to talk with. I want to increase my level of expression. I will be happy to help this person learn and practice French ?"
1670,3474,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Italian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",":) Just a guy from Switzerland trying to improve his language skills… I needed to find a new way after having seen all Netflix shows ;) Also i love sports, board games, and festivals."
1671,3477,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to meet an english pen pal to learn more about english language and also english people . I like english country very much . I live in burgundy .
1672,3478,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am French and I live in Paris. I am currently in Toronto until September 2nd. I would like to take advantage of this stay to exchange a discussion with a native English speaker to improve my skills and in exchange, make conversation in French. I love to talk about social issues. For me, languages also allow me to know the cultures of other countries. I have an Intermediate level in English and I can make the conversation in French for any level."
1673,3485,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I would like to practice English with someone who would like to improve his skills in French. Building linguistic friendship."
1675,3488,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my spoken English and ideally speak without my strong French accent ?
1677,3491,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hello, I would like to improve my english to become fluent or comfortable with it. (women only) So let's talk =)"
1678,3493,French,"[{'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I love to practice languages and meet people from around the world. I want to improve English, Spanish and Portuguese and would be happy to talk about everything ! I can help you with French :) Don't hesitate to talk to me."
1679,3494,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi, I would to practice my Spanish and improve my English. If you are learning French, it would be my pleasure to help you. Museums, art, anime lovers or chatty people, I am waiting your messages. I can chat on Whatsapp as well."
1680,3495,French,"[{'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, i'm looking for mother tongue to practice english, of course I'll help in french back. Monday and Wednesday evenings are good for me. Looking for friendly linguistic exchange only."
1681,3496,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m a french Erasmus student in Physics/Engineering and I’m currently loving in Cardiff since 2 months. I’m passionate by aeronautics and learning, everything at any time from everyone, I like to share ! I figured out that I really needed to improve my English by deeper meanings than just speaking. By speaking and writing with someone who could correct my mistakes and give a better English, I’ll should me more comfortable and confident. If you learn french, I could do it as well with pleasure !"
1682,3498,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm here to improve my english. I'd like to meet some native English or American to talk with. In exchange, we can talk french of course. I'm Nicolas, 31 years old and I live close to Paris. I'm not using this website to have a date ! I'm living with my girlfriend :)"
1683,3500,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I live in Belgium (small pleasant country ! ) and French is my mother tongue. I studied romance languages (Master's degree) and I have an experience as a French teacher and copywriter. I enjoy travelling and learning languages and would like to practise English with native speakers (for instance, 30 minutes in each language, correcting pronunciation and mistakes, in a good mood)."
1685,3504,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I just moved in NYC with my husband and I'll enjoy to meet new people and discover the city with conversation exchange ! And if you are working in Nonprofit for community or climate solutions, I really want to meet you !"
1687,3514,French,"[{'language': 'Italian', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}, {'language': 'Japanese', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'd like to improve my japanese and my english with native speakers. I love italian too, I lived inItalia for one year!"
1689,3517,French,"[{'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm french and I would like to speak with people all over the world."
1690,3519,French,"[{'language': 'German', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey ! I would like to practice my german, I was one year in germany, and I would like to improve my english. And make news friends all over the world."
1692,3522,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Cantonese)', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}]","Hi there, French born Chinese, I would like to improve my mandarin/english. I am looking for truly motivated people for regular language exchange sessions. I will also do my best to help you with your French or Cantonese. Just drop me a message if you are interested ;) See ya !"
1693,3524,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a French nurse living in Lyon and I want to improve my English. I fell in love with this language and I also think that English is very usefull to communicate with people from all around the world! Also, I would be happy to help you learning French and maybe to show you some nice places in Lyon :-) Hope to see you soon!"
